kmeans_regime,Bearish,Bullish,Neutral,Volatile
Bearish,0.6794871794871795,0.09829059829059829,0.029914529914529916,0.19230769230769232
Bullish,0.020833333333333332,0.8787878787878788,0.08964646464646464,0.010732323232323232
Neutral,0.011577424023154847,0.2011577424023155,0.7655571635311144,0.02170767004341534
Volatile,0.1259259259259259,0.1111111111111111,0.05185185185185185,0.7111111111111111
