Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
Regime Strategy,0.10971904999797943,0.12063023430243186,0.9095485110548902,-0.19760882124605617
Buy and Hold,0.14704551422444623,0.17773157609675774,0.8273460318857134,-0.33717258279330076
