kmeans_regime,Bearish,Bullish,Neutral,Volatile
Bearish,0.5966850828729282,0.14917127071823205,0.049723756906077346,0.20441988950276244
Bullish,0.022871664548919948,0.8792884371029225,0.08576874205844981,0.01207115628970775
Neutral,0.011851851851851851,0.19407407407407407,0.7688888888888888,0.025185185185185185
Volatile,0.0830945558739255,0.09169054441260745,0.03724928366762178,0.7879656160458453
