date,selected_k,best_silhouette
2015-03-18,3,0.18482199514022402
2015-04-17,3,0.1836599738863374
2015-05-18,3,0.17656218630929119
2015-06-17,3,0.1718333223818605
2015-07-17,3,0.1724144028839936
2015-08-17,3,0.17241327240760168
2015-09-16,3,0.1832994852834342
2015-10-15,3,0.190107593150707
2015-11-13,3,0.1846780429511908
2015-12-15,3,0.1810214134950573
2016-01-15,3,0.17852604012229523
2016-02-17,4,0.16524864191048344
2016-03-17,3,0.17002940127034963
2016-04-18,3,0.1602533356755917
2016-05-17,4,0.15928054198536445
2016-06-16,4,0.1630536383836307
2016-07-18,3,0.17237481545483055
2016-08-16,3,0.17114117178794688
2016-09-15,3,0.1764706257043111
2016-10-14,3,0.1666772103266809
2016-11-14,3,0.17069460557933672
2016-12-14,3,0.168763900293886
2017-01-17,3,0.1690540086167628
2017-02-15,3,0.1571239282327957
2017-03-17,3,0.161518557853703
2017-04-18,3,0.15948377984265427
2017-05-17,3,0.16356684567601154
2017-06-16,3,0.1693441210490071
2017-07-18,3,0.16919787197168565
2017-08-16,3,0.17190392115775824
2017-09-15,3,0.1620761842618853
2017-10-16,3,0.1637269127516391
2017-11-14,3,0.16345643519595018
2017-12-14,3,0.16058070083848086
2018-01-17,3,0.15243279218707
2018-02-15,3,0.15685436191857502
2018-03-19,3,0.17655238311701973
2018-04-18,3,0.17469568022871418
2018-05-17,3,0.17687810941965112
2018-06-18,3,0.1780785953478301
2018-07-18,3,0.18077887649063515
2018-08-16,3,0.18363562133477404
2018-09-17,3,0.18073286624367269
2018-10-16,3,0.18490522728724534
2018-11-14,3,0.198660676987851
2018-12-17,3,0.20049939416927806
2019-01-17,3,0.21642769177765125
2019-02-19,3,0.2054712807837154
2019-03-20,4,0.15046963279909406
2019-04-18,3,0.21762015776757088
2019-05-20,3,0.21920803390628835
2019-06-19,3,0.21515771923948881
2019-07-19,4,0.1482943913725197
2019-08-19,4,0.1534088778900522
2019-09-18,4,0.15215099464480641
2019-10-17,3,0.23400931295675906
2019-11-15,4,0.15769206484195494
2019-12-17,3,0.21620697998952085
2020-01-17,3,0.22332662470291365
2020-02-19,3,0.19811644118441624
2020-03-19,3,0.29185625961327255
2020-04-20,4,0.2926795869913043
2020-05-19,4,0.27605737029842786
2020-06-18,4,0.2554966458871293
2020-07-20,4,0.2433937562689602
2020-08-18,4,0.23814427454240505
2020-09-17,4,0.23956139052653116
2020-10-16,4,0.22841311093677882
2020-11-16,3,0.22866898071195346
2020-12-16,3,0.22582662506796147
2021-01-19,3,0.22133997766673105
2021-02-18,3,0.22108667232394968
2021-03-19,3,0.22055640871537857
2021-04-20,3,0.22115767892071528
2021-05-19,3,0.21683159216477987
2021-06-18,3,0.21350401060056104
2021-07-20,3,0.22102292106850988
2021-08-18,3,0.214272560884225
2021-09-17,3,0.21434553983879437
2021-10-18,3,0.21232854885060065
2021-11-16,3,0.21012358782514387
2021-12-16,3,0.21293509264113258
2022-01-18,3,0.20527497099741432
2022-02-16,3,0.2025806101994719
2022-03-18,3,0.1983207050165951
2022-04-19,3,0.19584081971435574
2022-05-18,3,0.20917605163555927
2022-06-17,3,0.21549976106815946
2022-07-20,3,0.20538973019719742
2022-08-18,3,0.20870153158534777
2022-09-19,3,0.2124192036126615
2022-10-18,3,0.21747000698369737
2022-11-16,3,0.21519174162883697
2022-12-16,3,0.2136534096043458
2023-01-19,3,0.2054814881540507
2023-02-17,3,0.21004542862315348
2023-03-21,3,0.2125623687225423
2023-04-20,3,0.1723318604124026
2023-05-19,3,0.16787630456472277
2023-06-21,3,0.1716872550815606
2023-07-21,3,0.17223360819942796
2023-08-21,3,0.17137075323004736
2023-09-20,3,0.16864257236119337
2023-10-19,3,0.171132950487932
2023-11-17,3,0.1698974789690225
2023-12-19,3,0.16987680889512186
2024-01-22,3,0.1666321141315574
2024-02-21,3,0.1638806325026099
2024-03-21,3,0.1682445627547591
2024-04-22,3,0.17748805142843732
2024-05-21,4,0.16376760927438938
2024-06-21,4,0.16701904965257425
2024-07-23,4,0.1699568262653252
2024-08-21,4,0.17401349541299704
2024-09-20,4,0.17025027288052388
2024-10-21,4,0.16916719162568672
2024-11-19,4,0.17298098677162463
2024-12-19,4,0.1720023583559959
2025-01-23,4,0.17003927558267015
2025-02-24,4,0.16669832886939712
2025-03-25,4,0.16967038755323366
2025-04-24,4,0.17487439891075632
2025-05-23,3,0.19016017349772069
2025-06-25,4,0.16232230917578463
2025-07-25,4,0.15931072140183886
2025-08-25,4,0.1563517837966901
2025-09-24,4,0.16217695301245372
2025-10-23,3,0.176548029731576
2025-11-21,3,0.17651970074358048
2025-12-23,3,0.17691516426030743
2026-01-26,3,0.18209980969386536
2026-02-25,3,0.18179645364843885
2026-03-26,3,0.18987579477073246
