hmm_regime,Bearish,Bullish,Neutral,Volatile
Bearish,0.3235294117647059,0.029411764705882353,0.0196078431372549,0.6274509803921569
Bullish,0.004656577415599534,0.8579743888242142,0.12456344586728754,0.012805587892898719
Neutral,0.005952380952380952,0.4107142857142857,0.4365079365079365,0.14682539682539683
Volatile,0.16076294277929154,0.09536784741144415,0.18256130790190736,0.5613079019073569
