regime,Bullish,Neutral,Volatile
Bullish,0.9237758707723372,0.07622412922766279,0.0
Neutral,0.19764397905759162,0.7997382198952879,0.002617801047120419
Volatile,0.02857142857142857,0.02857142857142857,0.9428571428571428
