date,selected_k,best_silhouette
2015-03-18,3,0.1914912245669537
2015-04-17,3,0.1848527046840235
2015-05-18,3,0.17508615017660387
2015-06-17,3,0.16891701857404118
2015-07-17,3,0.16254331147758247
2015-08-17,3,0.16015196152302566
2015-09-16,3,0.14956056300512383
2015-10-15,3,0.15600463062558761
2015-11-13,3,0.15060797645572846
2015-12-15,4,0.1465625483670661
2016-01-15,4,0.14254463104960463
2016-02-17,3,0.19454375603737492
2016-03-17,3,0.18736449326054622
2016-04-18,3,0.18793201648249785
2016-05-17,3,0.19189042093707903
2016-06-16,3,0.20349451376997707
2016-07-18,3,0.19403494033292615
2016-08-16,3,0.18865682405561449
2016-09-15,3,0.19081529258285468
2016-10-14,3,0.1855100589943663
2016-11-14,3,0.18257697619331706
2016-12-14,3,0.18552886407901684
2017-01-17,3,0.18693337870595916
2017-02-15,3,0.18274986615778926
2017-03-17,4,0.16470758478506878
2017-04-18,3,0.1796822280549907
2017-05-17,3,0.18771898438337004
2017-06-16,3,0.18796416254145576
2017-07-18,3,0.18623408646350884
2017-08-16,3,0.18914852337526927
2017-09-15,3,0.1842852526822067
2017-10-16,3,0.18776431104664512
2017-11-14,3,0.19013571402480398
2017-12-14,3,0.18796773305738879
2018-01-17,3,0.17948004609212218
2018-02-15,3,0.17243531359992073
2018-03-19,4,0.1842822489007668
2018-04-18,4,0.1840689768280688
2018-05-17,4,0.18427465322344677
2018-06-18,4,0.18776557401069932
2018-07-18,3,0.25618570020409165
2018-08-16,4,0.19099404576674223
2018-09-17,4,0.16250788101310867
2018-10-16,4,0.16225413686928183
2018-11-14,4,0.16757704147432984
2018-12-17,4,0.16918321866908806
2019-01-17,4,0.19901976655680872
2019-02-19,4,0.16782163916576925
2019-03-20,3,0.17429306921613127
2019-04-18,4,0.1980278414766829
2019-05-20,3,0.17335582978567585
2019-06-19,3,0.17297963922833962
2019-07-19,3,0.1687591345925522
2019-08-19,4,0.1815774831716233
2019-09-18,3,0.28448872401267444
2019-10-17,3,0.2806158803379714
2019-11-15,3,0.27676923923006247
2019-12-17,3,0.2755042446754506
2020-01-17,3,0.28159409754858494
2020-02-19,3,0.2743549838119247
2020-03-19,4,0.24053707227081747
2020-04-20,3,0.305399991704631
2020-05-19,3,0.29020484569383637
2020-06-18,3,0.2823478424506298
2020-07-20,3,0.3151908010234414
2020-08-18,3,0.2850297058172206
2020-09-17,3,0.2884404216064356
2020-10-16,3,0.2936493489838749
2020-11-16,3,0.28405987385061354
2020-12-16,3,0.287320176996507
2021-01-19,3,0.28178806630981845
2021-02-18,3,0.2738985781793314
2021-03-19,4,0.24383618177199853
2021-04-20,3,0.26844799346465664
2021-05-19,3,0.2672125892442308
2021-06-18,3,0.2722929591105186
2021-07-20,3,0.275944492895327
2021-08-18,3,0.2861774498365477
2021-09-17,3,0.2714819366555383
2021-10-18,3,0.2655136516248435
2021-11-16,3,0.2684191960082643
2021-12-16,3,0.27072172708812053
2022-01-18,3,0.26189669872528054
2022-02-16,3,0.26346629201752336
2022-03-18,3,0.2590533285967727
2022-04-19,3,0.2540614190447991
2022-05-18,3,0.2713474722450357
2022-06-17,3,0.2638809200970798
2022-07-20,3,0.26795805173565596
2022-08-18,3,0.24845089780345286
2022-09-19,3,0.27075347960695517
2022-10-18,3,0.23531466756695182
2022-11-16,3,0.22023423655449628
2022-12-16,3,0.21226515971249524
2023-01-19,3,0.26067375583596525
2023-02-17,3,0.25813258594523364
2023-03-21,3,0.2556761542449466
2023-04-20,3,0.16829434423183942
2023-05-19,3,0.19112782117793903
2023-06-21,3,0.19531479766783497
2023-07-21,3,0.1989104034444096
2023-08-21,3,0.20111950675307633
2023-09-20,3,0.197093205991503
2023-10-19,3,0.20233795453272718
2023-11-17,4,0.1668543628504862
2023-12-19,3,0.20632704779724248
2024-01-22,3,0.20555836872169375
2024-02-21,3,0.17356348806065403
2024-03-21,4,0.16791372173759977
2024-04-22,3,0.18109231842777165
2024-05-21,4,0.1699666606953449
2024-06-21,4,0.1731609663327377
2024-07-23,4,0.18441762755067165
2024-08-21,3,0.22327735887485936
2024-09-20,3,0.20448857955111757
2024-10-21,3,0.1693127640856493
2024-11-19,3,0.16402618957697315
2024-12-19,4,0.16457795606278156
2025-01-23,3,0.17259779940319542
2025-02-24,3,0.17278541763947008
2025-03-25,3,0.16974291917989384
2025-04-24,3,0.16851807052722106
2025-05-23,3,0.24573254116549967
2025-06-25,4,0.1539942850684518
2025-07-25,4,0.15695995575235358
2025-08-25,4,0.15356429611846217
2025-09-24,3,0.23054279868725738
2025-10-23,3,0.22744397086370963
2025-11-21,4,0.16014110583543933
2025-12-23,3,0.20925977970265433
2026-01-26,3,0.19709402247465338
2026-02-25,3,0.2021212275560649
2026-03-26,3,0.2059327110024099
