Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
HMM Regime,0.12629971153099087,0.13161769713506216,0.9934576136322337,-0.17938865083810915
Momentum,0.10046228549259702,0.12951168199152388,0.8088088961543604,-0.25783752525462106
Buy and Hold,0.15318305272218025,0.20806982797735488,0.744148960882517,-0.3665641549971632
KMeans Regime,0.08172889352318562,0.13101810234891798,0.6423153111711987,-0.2789802614168986
Trend Following,0.07894319384604469,0.1305553265887204,0.6165412998398371,-0.2514180038871259
