hmm_regime,Bearish,Bullish,Neutral,Volatile
Bearish,0.536036036036036,0.06306306306306306,0.013513513513513514,0.38738738738738737
Bullish,0.017139479905437353,0.8569739952718676,0.11347517730496454,0.012411347517730497
Neutral,0.007317073170731708,0.43414634146341463,0.3073170731707317,0.25121951219512195
Volatile,0.15604395604395604,0.10989010989010989,0.1956043956043956,0.5384615384615384
