kmeans_regime,Bearish,Bullish,Neutral,Volatile
Bearish,0.7615894039735099,0.10375275938189846,0.026490066225165563,0.10816777041942605
Bullish,0.04758190327613104,0.843213728549142,0.08892355694227769,0.0202808112324493
Neutral,0.0215633423180593,0.1495956873315364,0.8086253369272237,0.02021563342318059
Volatile,0.10264900662251655,0.1423841059602649,0.052980132450331126,0.7019867549668874
